"","uniprot_name","uniprot_accessions","knownness","gene_name","protein_name","taxon_id","species","cluster_id","panther_group"
"1","ANR46_HUMAN","Q86W74","0","ANKRD46","Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)","9606","Homo sapiens","UKP05912","PTHR22677"
"2","ANR46_HUMAN","Q6P9B7","0","ANKRD46","Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)","9606","Homo sapiens","UKP05912","PTHR22677"
"3","PXDC2_HUMAN","Q6UX71","0","PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)","9606","Homo sapiens","UKP07994","PTHR13055"
"4","PXDC2_HUMAN","Q96E59","0","PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)","9606","Homo sapiens","UKP07994","PTHR13055"
"5","PXDC2_HUMAN","Q96PD9","0","PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)","9606","Homo sapiens","UKP07994","PTHR13055"
"6","PXDC2_HUMAN","Q96SU9","0","PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)","9606","Homo sapiens","UKP07994","PTHR13055"
"7","CA216_HUMAN","Q8TAB5","0","C1orf216","UPF0500 protein C1orf216","9606","Homo sapiens","UKP09147","PTHR35673"
"8","CA216_HUMAN","D3DPS1","0","C1orf216","UPF0500 protein C1orf216","9606","Homo sapiens","UKP09147","PTHR35673"
"9","CA216_HUMAN","Q8N8N6","0","C1orf216","UPF0500 protein C1orf216","9606","Homo sapiens","UKP09147","PTHR35673"
"10","T179B_HUMAN","Q7Z7N9","0","TMEM179B","Transmembrane protein 179B","9606","Homo sapiens","UKP12844","PTHR31056"
"11","CCD17_HUMAN","Q96LX7","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"12","CCD17_HUMAN","A1A4Y7","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"13","CCD17_HUMAN","B4DNX7","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"14","CCD17_HUMAN","B4E1Q5","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"15","CCD17_HUMAN","C9J8L2","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"16","CCD17_HUMAN","Q0P683","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"17","CCD17_HUMAN","Q5T629","0","CCDC17","Coiled-coil domain-containing protein 17","9606","Homo sapiens","UKP09111","PTHR33820"
"18","PLBL2_HUMAN","Q8NHP8","0","PLBD2","Putative aminopeptidase PLBD2 (EC 3.4.11.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative aminopeptidase PLBD2 32 kDa form; Putative aminopeptidase PLBD2 45 kDa form]","9606","Homo sapiens","UKP07400","PTHR12370"
"19","PLBL2_HUMAN","F5H5E2","0","PLBD2","Putative aminopeptidase PLBD2 (EC 3.4.11.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative aminopeptidase PLBD2 32 kDa form; Putative aminopeptidase PLBD2 45 kDa form]","9606","Homo sapiens","UKP07400","PTHR12370"
"20","ANR55_HUMAN","Q3KP44","0","ANKRD55","Ankyrin repeat domain-containing protein 55","9606","Homo sapiens","UKP06898","PTHR24198"
"21","ANR55_HUMAN","B3KVT8","0","ANKRD55","Ankyrin repeat domain-containing protein 55","9606","Homo sapiens","UKP06898","PTHR24198"
"22","ANR55_HUMAN","Q3KP45","0","ANKRD55","Ankyrin repeat domain-containing protein 55","9606","Homo sapiens","UKP06898","PTHR24198"
"23","ANR55_HUMAN","Q9HAD3","0","ANKRD55","Ankyrin repeat domain-containing protein 55","9606","Homo sapiens","UKP06898","PTHR24198"
"24","SFT2A_HUMAN","Q8WV19","0","SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)","9606","Homo sapiens","UKP00664","PTHR23137"
"25","SFT2A_HUMAN","Q5TI64","0","SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)","9606","Homo sapiens","UKP00664","PTHR23137"
"26","SFT2A_HUMAN","Q9UIC7","0","SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)","9606","Homo sapiens","UKP00664","PTHR23137"
"27","SFT2B_HUMAN","O95562","0","SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)","9606","Homo sapiens","UKP00664","PTHR23137"
"28","SFT2B_HUMAN","A8K2R0","0","SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)","9606","Homo sapiens","UKP00664","PTHR23137"
"29","SFT2B_HUMAN","Q6UWR8","0","SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)","9606","Homo sapiens","UKP00664","PTHR23137"
"30","TULP4_HUMAN","Q9NRJ4","0","TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)","9606","Homo sapiens","UKP02254","PTHR16517"
"31","TULP4_HUMAN","Q5T3M2","0","TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)","9606","Homo sapiens","UKP02254","PTHR16517"
"32","TULP4_HUMAN","Q5T3M3","0","TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)","9606","Homo sapiens","UKP02254","PTHR16517"
"33","TULP4_HUMAN","Q9HD22","0","TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)","9606","Homo sapiens","UKP02254","PTHR16517"
"34","TULP4_HUMAN","Q9P2F0","0","TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)","9606","Homo sapiens","UKP02254","PTHR16517"
"35","CC167_HUMAN","Q9P0B6","0","CCDC167","Coiled-coil domain-containing protein 167","9606","Homo sapiens","UKP07636","PTHR31759"
"36","CC167_HUMAN","Q5T7F7","0","CCDC167","Coiled-coil domain-containing protein 167","9606","Homo sapiens","UKP07636","PTHR31759"
"37","CC167_HUMAN","Q9BTQ9","0","CCDC167","Coiled-coil domain-containing protein 167","9606","Homo sapiens","UKP07636","PTHR31759"
"38","CKLF4_HUMAN","Q8IZR5","0","CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)","9606","Homo sapiens","UKP07036","PTHR22776"
"39","CKLF4_HUMAN","Q52M40","0","CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)","9606","Homo sapiens","UKP07036","PTHR22776"
"40","CKLF4_HUMAN","Q8IZR4","0","CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)","9606","Homo sapiens","UKP07036","PTHR22776"
"41","CKLF4_HUMAN","Q8IZV1","0","CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)","9606","Homo sapiens","UKP07036","PTHR22776"
"42","T4S4_HUMAN","P48230","0","TM4SF4","Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)","9606","Homo sapiens","UKP08302","PTHR14198"
"43","T4S4_HUMAN","B2RDA4","0","TM4SF4","Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)","9606","Homo sapiens","UKP08302","PTHR14198"
"44","F241B_HUMAN","Q96D05","0","FAM241B","Protein FAM241B","9606","Homo sapiens","UKP09338","PTHR33690"
"45","F124B_HUMAN","Q9H5Z6","0","FAM124B","Protein FAM124B","9606","Homo sapiens","UKP09297","PTHR14715"
"46","F124B_HUMAN","A6NNC7","0","FAM124B","Protein FAM124B","9606","Homo sapiens","UKP09297","PTHR14715"
"47","F124B_HUMAN","Q8NBZ4","0","FAM124B","Protein FAM124B","9606","Homo sapiens","UKP09297","PTHR14715"
"48","F124B_HUMAN","Q8TAV7","0","FAM124B","Protein FAM124B","9606","Homo sapiens","UKP09297","PTHR14715"
"49","TM205_HUMAN","Q6UW68","0","TMEM205","Transmembrane protein 205","9606","Homo sapiens","UKP09284","PTHR46916"
"50","OIT3_HUMAN","Q8WWZ8","0","OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)","9606","Homo sapiens","UKP06276","PTHR14002"
"51","OIT3_HUMAN","A0AVP3","0","OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)","9606","Homo sapiens","UKP06276","PTHR14002"
"52","OIT3_HUMAN","Q8N1M8","0","OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)","9606","Homo sapiens","UKP06276","PTHR14002"
"53","MANBL_HUMAN","Q9NQG1","0","MANBAL","Protein MANBAL","9606","Homo sapiens","UKP09797","PTHR14409"
"54","MANBL_HUMAN","A8KAA6","0","MANBAL","Protein MANBAL","9606","Homo sapiens","UKP09797","PTHR14409"
"55","MANBL_HUMAN","E1P5V3","0","MANBAL","Protein MANBAL","9606","Homo sapiens","UKP09797","PTHR14409"
"56","NPDC1_HUMAN","Q9NQX5","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"57","NPDC1_HUMAN","Q5SPY8","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"58","NPDC1_HUMAN","Q9BTD6","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"59","NPDC1_HUMAN","Q9BXT3","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"60","NPDC1_HUMAN","Q9NQS2","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"61","NPDC1_HUMAN","Q9Y434","0","NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)","9606","Homo sapiens","UKP10213","PTHR23352"
"62","SMIP9_HUMAN","Q96LM6","0","SPMIP9","Protein SPMIP9 (Sperm microtubule inner protein 9) (Testis-expressed sequence 37 protein) (Testis-specific conserved protein of 21 kDa)","9606","Homo sapiens","UKP12568","PTHR36882"
"63","KPRP_HUMAN","Q5T749","0","KPRP","Keratinocyte proline-rich protein (hKPRP)","9606","Homo sapiens","UKP12869","PTHR48138"
"64","CC106_HUMAN","Q9BWC9","0","CCDC106","Coiled-coil domain-containing protein 106","9606","Homo sapiens","UKP09842","PTHR16477"
"65","CC106_HUMAN","B3KUF9","0","CCDC106","Coiled-coil domain-containing protein 106","9606","Homo sapiens","UKP09842","PTHR16477"
"66","CC106_HUMAN","D3K183","0","CCDC106","Coiled-coil domain-containing protein 106","9606","Homo sapiens","UKP09842","PTHR16477"
"67","CC106_HUMAN","Q99786","0","CCDC106","Coiled-coil domain-containing protein 106","9606","Homo sapiens","UKP09842","PTHR16477"
"68","CH033_HUMAN","Q9H7E9","0","C8orf33","UPF0488 protein C8orf33","9606","Homo sapiens","UKP09538","PTHR13602"
"69","CH033_HUMAN","A6NGC0","0","C8orf33","UPF0488 protein C8orf33","9606","Homo sapiens","UKP09538","PTHR13602"
"70","CH033_HUMAN","Q96BT8","0","C8orf33","UPF0488 protein C8orf33","9606","Homo sapiens","UKP09538","PTHR13602"
"71","SG1D1_HUMAN","O95968","0","SCGB1D1","Secretoglobin family 1D member 1 (Lipophilin-A)","9606","Homo sapiens","UKP12607","PTHR11332"
"72","ANR12_HUMAN","Q6UB98","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
"73","ANR12_HUMAN","O94951","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
